artist,date,rank,streams,title
Drake,2018-02-07,1,3370488,God's Plan
Migos,2018-02-07,2,1303081,Stir Fry
Bazzi,2018-02-07,3,1197740,Mine
The Weeknd,2018-02-07,4,1103255,Pray For Me (with Kendrick Lamar)
Post Malone,2018-02-07,5,1058620,rockstar
Zedd,2018-02-07,6,1021624,The Middle
Bruno Mars,2018-02-07,7,989020,Finesse (Remix) [feat. Cardi B]
Post Malone,2018-02-07,8,987997,I Fall Apart
Migos,2018-02-07,9,934339,Narcos
Kendrick Lamar,2018-02-07,10,934291,All The Stars (with SZA)
Cardi B,2018-02-07,11,844526,Bartier Cardi (feat. 21 Savage)
Camila Cabello,2018-02-07,12,821398,Never Be the Same
Offset,2018-02-07,13,812561,Ric Flair Drip (& Metro Boomin)
Kendrick Lamar,2018-02-07,14,786118,LOVE. FEAT. ZACARI.
Justin Timberlake,2018-02-07,15,773709,Say Something
Camila Cabello,2018-02-07,16,772163,Havana
Bebe Rexha,2018-02-07,17,759413,Meant to Be (feat. Florida Georgia Line)
Famous Dex,2018-02-07,18,728122,Pick It Up (feat. A$AP Rocky)
NF,2018-02-07,19,723562,Let You Down
G-Eazy,2018-02-07,20,703892,No Limit
Dua Lipa,2018-02-07,21,686770,IDGAF
Miguel,2018-02-07,22,675284,Sky Walker
G-Eazy,2018-02-07,23,668835,Him & I (with Halsey)
Lil Xan,2018-02-07,24,663816,Betrayed
Migos,2018-02-07,25,653390,MotorSport
Post Malone,2018-02-07,26,622801,Candy Paint
Lil Uzi Vert,2018-02-07,27,617044,XO TOUR Llif3
Kodak Black,2018-02-07,28,615834,Codeine Dreaming (feat. Lil Wayne)
Hailee Steinfeld,2018-02-07,29,605432,"Let Me Go (with Alesso, Florida Georgia Line & watt)"
A$AP Ferg,2018-02-07,30,576416,Plain Jane
Kendrick Lamar,2018-02-07,31,567963,HUMBLE.
Eminem,2018-02-07,32,543493,River (feat. Ed Sheeran)
Migos,2018-02-07,33,540520,Walk It Talk It
The Chainsmokers,2018-02-07,34,537954,Sick Boy
21 Savage,2018-02-07,35,534958,Bank Account
Khalid,2018-02-07,36,530410,Young Dumb & Broke
Post Malone,2018-02-07,37,526907,Congratulations
Lil Skies,2018-02-07,38,526089,Nowadays (feat. Landon Cube)
Zac Efron,2018-02-07,39,513581,Rewrite The Stars
Ed Sheeran,2018-02-07,40,501494,Perfect
Jay Rock,2018-02-07,41,498284,"King's Dead (with Kendrick Lamar, Future & James Blake)"
Rudimental,2018-02-07,42,483889,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)"
Dua Lipa,2018-02-07,43,481612,New Rules
Cardi B,2018-02-07,44,478960,Bodak Yellow
Keala Settle,2018-02-07,45,472449,This Is Me
Logic,2018-02-07,46,470022,1-800-273-8255
Drake,2018-02-07,47,454253,Diplomatic Immunity
Gucci Mane,2018-02-07,48,453138,I Get The Bag (feat. Migos)
Justin Timberlake,2018-02-07,49,444076,Filthy
NAV,2018-02-07,50,442713,Wanted You (feat. Lil Uzi Vert)
Selena Gomez,2018-02-07,51,438463,Wolves
YBN Nahmir,2018-02-07,52,431911,Bounce Out With That
Sam Smith,2018-02-07,53,430291,Too Good At Goodbyes
Khalid,2018-02-07,54,428219,Location
Kodak Black,2018-02-07,55,424184,Roll In Peace (feat. XXXTENTACION)
Demi Lovato,2018-02-07,56,423667,Tell Me You Love Me
Travis Scott,2018-02-07,57,420943,goosebumps
Travis Scott,2018-02-07,58,414414,Butterfly Effect
Lil Pump,2018-02-07,59,408007,Gucci Gang
XXXTENTACION,2018-02-07,60,401066,Jocelyn Flores
Migos,2018-02-07,61,398994,BBO (Bad Bitches Only)
Migos,2018-02-07,62,397974,Notice Me
Imagine Dragons,2018-02-07,63,393756,Thunder
Marshmello,2018-02-07,64,383835,Silence
Rae Sremmurd,2018-02-07,65,381697,T'd Up
XXXTENTACION,2018-02-07,66,376613,Fuck Love (feat. Trippie Redd)
Rich The Kid,2018-02-07,67,376263,New Freezer (feat. Kendrick Lamar)
Lil Skies,2018-02-07,68,371078,Red Roses (feat. Landon Cube)
Lil Uzi Vert,2018-02-07,69,366498,The Way Life Goes (feat. Oh Wonder)
Demi Lovato,2018-02-07,70,365301,Sorry Not Sorry
Camila Cabello,2018-02-07,71,362398,She Loves Control
6ix9ine,2018-02-07,72,361685,KEKE
French Montana,2018-02-07,73,361359,Unforgettable
Kendrick Lamar,2018-02-07,74,357286,DNA.
Taylor Swift,2018-02-07,75,354336,End Game
Halsey,2018-02-07,76,349248,Bad At Love
YBN Nahmir,2018-02-07,77,348041,Rubbin Off The Paint
Clean Bandit,2018-02-07,78,340236,I Miss You (feat. Julia Michaels)
A Boogie Wit da Hoodie,2018-02-07,79,329562,Drowning (feat. Kodak Black)
Childish Gambino,2018-02-07,80,328635,Redbone
Hailee Steinfeld,2018-02-07,81,327893,Capital Letters
Migos,2018-02-07,82,324912,Slippery (feat. Gucci Mane)
Portugal. The Man,2018-02-07,83,317318,Feel It Still
Cashmere Cat,2018-02-07,84,314676,Miss You (with Major Lazer & Tory Lanez)
Ed Sheeran,2018-02-07,85,313997,Shape of You
Post Malone,2018-02-07,86,310266,Go Flex
Maroon 5,2018-02-07,87,309677,What Lovers Do (feat. SZA)
SZA,2018-02-07,88,304194,Love Galore
6ix9ine,2018-02-07,89,302502,GUMMO
Migos,2018-02-07,90,302416,Gang Gang
SZA,2018-02-07,91,301597,The Weekend - Funk Wav Remix
Imagine Dragons,2018-02-07,92,297750,Believer
Kane Brown,2018-02-07,93,294525,What Ifs
Luis Fonsi,2018-02-07,94,293565,Échame La Culpa
AJR,2018-02-07,95,277190,Sober Up
Hugh Jackman,2018-02-07,96,274861,The Greatest Show
LANCO,2018-02-07,97,273431,Greatest Love Story
Russ,2018-02-07,98,272614,Losin Control
James Arthur,2018-02-07,99,272045,Say You Won't Let Go
Yo Gotti,2018-02-07,100,270651,Rake It Up
Troye Sivan,2018-02-07,101,269173,My My My!
Quality Control,2018-02-07,102,268604,Ice Tray
Justin Timberlake,2018-02-07,103,268044,Man of the Woods
Post Malone,2018-02-07,104,265971,White Iverson
Thomas Rhett,2018-02-07,105,264797,Marry Me
Drake,2018-02-07,106,262653,Passionfruit
Ziv Zaifman,2018-02-07,107,259724,A Million Dreams
Playboi Carti,2018-02-07,108,258336,Magnolia
21 Savage,2018-02-07,109,256532,Ghostface Killers
Kesha,2018-02-07,110,255151,Praying
Future,2018-02-07,111,255016,Mask Off
Ed Sheeran,2018-02-07,112,254853,Perfect Duet (Ed Sheeran & Beyoncé)
Liam Payne,2018-02-07,113,254354,For You (Fifty Shades Freed) (& Rita Ora)
Loren Allred,2018-02-07,114,253528,Never Enough
Lauv,2018-02-07,115,253265,I Like Me Better
Jason Derulo,2018-02-07,116,252933,Tip Toe (feat. French Montana)
Meek Mill,2018-02-07,117,251775,Dreams and Nightmares
Maroon 5,2018-02-07,118,250616,Wait (feat. A Boogie Wit da Hoodie)
Marshmello,2018-02-07,119,249348,Spotlight
Trippie Redd,2018-02-07,120,248543,Dark Knight Dummo (Feat. Travis Scott)
Big Sean,2018-02-07,121,248478,Bounce Back
Young Thug,2018-02-07,122,247938,Relationship (feat. Future)
Charlie Puth,2018-02-07,123,247877,How Long
Sam Hunt,2018-02-07,124,247832,Body Like A Back Road
Charlie Puth,2018-02-07,125,246787,Attention
XXXTENTACION,2018-02-07,126,246554,Everybody Dies In Their Nightmares
Justin Timberlake,2018-02-07,127,246283,Supplies
Bruno Mars,2018-02-07,128,246064,That's What I Like
Lil Uzi Vert,2018-02-07,129,245001,Sauce It Up
SZA,2018-02-07,130,243242,The Weekend
Liam Payne,2018-02-07,131,242556,Strip That Down
GoldLink,2018-02-07,132,241438,Crew
2 Chainz,2018-02-07,133,241362,It's A Vibe
Drake,2018-02-07,134,241072,Fake Love
Hugh Jackman,2018-02-07,135,239750,The Other Side
Thomas Rhett,2018-02-07,136,236574,Unforgettable
J. Cole,2018-02-07,137,236097,No Role Modelz
KYLE,2018-02-07,138,235753,iSpy (feat. Lil Yachty)
Kendrick Lamar,2018-02-07,139,235202,LOYALTY. FEAT. RIHANNA.
blackbear,2018-02-07,140,231735,do re mi
Martin Garrix,2018-02-07,141,231614,So Far Away
Huncho Jack,2018-02-07,142,230052,Saint
Kane Brown,2018-02-07,143,228956,Heaven
Kodak Black,2018-02-07,144,228732,Transportin'
Brett Young,2018-02-07,145,226780,In Case You Didn't Know
Jaden Smith,2018-02-07,146,226756,Icon
DJ Khaled,2018-02-07,147,226536,I'm the One
Kodak Black,2018-02-07,148,226496,Tunnel Vision
Lil Pump,2018-02-07,149,226014,Designer
Migos,2018-02-07,150,224196,Bad and Boujee (feat. Lil Uzi Vert)
Trippie Redd,2018-02-07,151,221736,Love Scars
ZAYN,2018-02-07,152,219111,Dusk Till Dawn - Radio Edit
The Chainsmokers,2018-02-07,153,218759,Closer
Tay-K,2018-02-07,154,218375,The Race
The Weeknd,2018-02-07,155,217484,Die For You
Bryson Tiller,2018-02-07,156,214028,Don't
Eminem,2018-02-07,157,212167,'Till I Collapse
Luis Fonsi,2018-02-07,158,212160,Despacito - Remix
Russell Dickerson,2018-02-07,159,211189,Yours
Maroon 5,2018-02-07,160,211003,Wait
6LACK,2018-02-07,161,210986,PRBLMS
J Balvin,2018-02-07,162,209980,Mi Gente
Bryson Tiller,2018-02-07,163,208960,Exchange
Julia Michaels,2018-02-07,164,208702,Issues
The Chainsmokers,2018-02-07,165,208517,Something Just Like This
Drake,2018-02-07,166,206779,One Dance
Lil Uzi Vert,2018-02-07,167,205554,20 Min
Niall Horan,2018-02-07,168,203394,Slow Hands
Playboi Carti,2018-02-07,169,203315,wokeuplikethis*
Migos,2018-02-07,170,203027,T-Shirt
Old Dominion,2018-02-07,171,202280,Written in the Sand
Bad Bunny,2018-02-07,172,202203,Sensualidad
Matt Terry,2018-02-07,173,202177,Sucker for You
Migos,2018-02-07,174,201810,White Sand
The Weeknd,2018-02-07,175,201274,Starboy
Drake,2018-02-07,176,200504,Portland
Camila Cabello,2018-02-07,177,199717,Real Friends
Migos,2018-02-07,178,199613,Supastars
Daddy Yankee,2018-02-07,179,199063,Dura
Glades,2018-02-07,180,198345,Do Right
Brett Young,2018-02-07,181,197659,Like I Loved You
Luke Combs,2018-02-07,182,197200,When It Rains It Pours
James Arthur,2018-02-07,183,197145,Naked
Khalid,2018-02-07,184,195660,Saved
YoungBoy Never Broke Again,2018-02-07,185,195599,Outside Today
Hugh Jackman,2018-02-07,186,194955,Come Alive
Sofi Tukker,2018-02-07,187,194761,Best Friend
Jason Aldean,2018-02-07,188,194478,You Make It Easy
Rich Brian,2018-02-07,189,193593,Attention (feat. Offset)
Ozuna,2018-02-07,190,193277,La Modelo
Chris Brown,2018-02-07,191,192943,Pills & Automobiles
Walker Hayes,2018-02-07,192,192488,You Broke Up with Me
Shawn Mendes,2018-02-07,193,192449,There's Nothing Holdin' Me Back
Daniel Caesar,2018-02-07,194,192175,Get You (feat. Kali Uchis)
Lil Uzi Vert,2018-02-07,195,191460,Money Longer
Huncho Jack,2018-02-07,196,191300,Dubai Shit
Jon Pardi,2018-02-07,197,190913,Heartache On The Dance Floor
H.E.R.,2018-02-07,198,190335,Best Part
N.E.R.D,2018-02-07,199,189773,Lemon - Edit
Natti Natasha,2018-02-07,200,189309,Criminal
Post Malone,2017-12-29,1,1448191,rockstar
Post Malone,2017-12-29,2,960855,I Fall Apart
Cardi B,2017-12-29,3,926990,Bartier Cardi (feat. 21 Savage)
G-Eazy,2017-12-29,4,919326,No Limit
Lil Pump,2017-12-29,5,879719,Gucci Gang
Offset,2017-12-29,6,818514,Ric Flair Drip (& Metro Boomin)
G-Eazy,2017-12-29,7,798276,Him & I (with Halsey)
Camila Cabello,2017-12-29,8,768019,Havana
Post Malone,2017-12-29,9,726354,Candy Paint
Lil Uzi Vert,2017-12-29,10,718642,XO TOUR Llif3
21 Savage,2017-12-29,11,692402,Bank Account
NF,2017-12-29,12,685513,Let You Down
Sam Smith,2017-12-29,13,646585,Too Good At Goodbyes
Ed Sheeran,2017-12-29,14,643980,Perfect
Eminem,2017-12-29,15,642084,River (feat. Ed Sheeran)
Kodak Black,2017-12-29,16,638383,Codeine Dreaming (feat. Lil Wayne)
Famous Dex,2017-12-29,17,635015,Pick It Up (feat. A$AP Rocky)
Migos,2017-12-29,18,634221,MotorSport
Post Malone,2017-12-29,19,608819,Congratulations
Selena Gomez,2017-12-29,20,607113,Wolves
Kendrick Lamar,2017-12-29,21,596254,HUMBLE.
Kendrick Lamar,2017-12-29,22,589530,LOVE. FEAT. ZACARI.
A$AP Ferg,2017-12-29,23,583126,Plain Jane
Bebe Rexha,2017-12-29,24,582603,Meant to Be (feat. Florida Georgia Line)
Logic,2017-12-29,25,575605,1-800-273-8255
Dua Lipa,2017-12-29,26,571622,New Rules
Khalid,2017-12-29,27,560195,Young Dumb & Broke
Cardi B,2017-12-29,28,542416,Bodak Yellow
Miguel,2017-12-29,29,538124,Sky Walker
Gucci Mane,2017-12-29,30,533557,I Get The Bag (feat. Migos)
Marshmello,2017-12-29,31,526788,Silence
Hailee Steinfeld,2017-12-29,32,524111,"Let Me Go (with Alesso, Florida Georgia Line & watt)"
Halsey,2017-12-29,33,522308,Bad At Love
Maroon 5,2017-12-29,34,507767,What Lovers Do (feat. SZA)
Lil Xan,2017-12-29,35,490514,Betrayed
Travis Scott,2017-12-29,36,484969,Butterfly Effect
NAV,2017-12-29,37,471311,Wanted You (feat. Lil Uzi Vert)
Travis Scott,2017-12-29,38,471265,goosebumps
French Montana,2017-12-29,39,464464,Unforgettable
Imagine Dragons,2017-12-29,40,455852,Thunder
Taylor Swift,2017-12-29,41,454664,End Game
Kodak Black,2017-12-29,42,453347,Roll In Peace (feat. XXXTENTACION)
Khalid,2017-12-29,43,453247,Location
Demi Lovato,2017-12-29,44,442713,Tell Me You Love Me
Demi Lovato,2017-12-29,45,437991,Sorry Not Sorry
Lil Uzi Vert,2017-12-29,46,436132,The Way Life Goes (feat. Oh Wonder)
Huncho Jack,2017-12-29,47,433145,Saint
XXXTENTACION,2017-12-29,48,427452,Jocelyn Flores
Ed Sheeran,2017-12-29,49,426968,Perfect Duet (Ed Sheeran & Beyoncé)
YBN Nahmir,2017-12-29,50,405725,Rubbin Off The Paint
Migos,2017-12-29,51,391424,Slippery (feat. Gucci Mane)
Huncho Jack,2017-12-29,52,387109,Dubai Shit
XXXTENTACION,2017-12-29,53,378926,Fuck Love (feat. Trippie Redd)
Camila Cabello,2017-12-29,54,378861,Never Be the Same
Ed Sheeran,2017-12-29,55,376709,Shape of You
A Boogie Wit da Hoodie,2017-12-29,56,367705,Drowning (feat. Kodak Black)
Migos,2017-12-29,57,367466,Stir Fry
21 Savage,2017-12-29,58,362436,Ghostface Killers
Charlie Puth,2017-12-29,59,344541,How Long
Kendrick Lamar,2017-12-29,60,342652,DNA.
Imagine Dragons,2017-12-29,61,335215,Believer
Post Malone,2017-12-29,62,332463,Go Flex
6ix9ine,2017-12-29,63,322677,GUMMO
Machine Gun Kelly,2017-12-29,64,321445,"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)"
Portugal. The Man,2017-12-29,65,321439,Feel It Still
Huncho Jack,2017-12-29,66,319622,Modern Slavery
Sam Hunt,2017-12-29,67,317918,Body Like A Back Road
Future,2017-12-29,68,314625,Mask Off
Childish Gambino,2017-12-29,69,312126,Redbone
Huncho Jack,2017-12-29,70,307711,Black & Chinese
Big Sean,2017-12-29,71,306838,Go Legend (& Metro Boomin)
Camila Cabello,2017-12-29,72,305833,Real Friends
Clean Bandit,2017-12-29,73,303539,I Miss You (feat. Julia Michaels)
G-Eazy,2017-12-29,74,303458,Sober
SZA,2017-12-29,75,301471,Love Galore
Yo Gotti,2017-12-29,76,301359,Rake It Up
Quality Control,2017-12-29,77,301104,Ice Tray
Charlie Puth,2017-12-29,78,294848,Attention
Playboi Carti,2017-12-29,79,293817,Magnolia
Post Malone,2017-12-29,80,292492,White Iverson
Luis Fonsi,2017-12-29,81,292082,Despacito - Remix
BTS,2017-12-29,82,291796,MIC Drop (feat. Desiigner) [Steve Aoki Remix]
Huncho Jack,2017-12-29,83,280747,Eye 2 Eye
A$AP Ferg,2017-12-29,84,280524,Plain Jane REMIX
J Balvin,2017-12-29,85,279011,Mi Gente
Taylor Swift,2017-12-29,86,278857,Look What You Made Me Do
SZA,2017-12-29,87,278311,The Weekend
KYLE,2017-12-29,88,277661,iSpy (feat. Lil Yachty)
Russ,2017-12-29,89,275941,Losin Control
Luis Fonsi,2017-12-29,90,274735,Échame La Culpa
DJ Khaled,2017-12-29,91,274349,I'm the One
Kane Brown,2017-12-29,92,271346,What Ifs
Rich The Kid,2017-12-29,93,270716,New Freezer (feat. Kendrick Lamar)
James Arthur,2017-12-29,94,270666,Say You Won't Let Go
Lil Uzi Vert,2017-12-29,95,269103,Sauce It Up
Taylor Swift,2017-12-29,96,267870,Delicate
Migos,2017-12-29,97,266371,Bad and Boujee (feat. Lil Uzi Vert)
Young Thug,2017-12-29,98,263665,Relationship (feat. Future)
Trouble,2017-12-29,99,263399,Bring It Back (with Drake & Mike WiLL Made-It)
Bruno Mars,2017-12-29,100,263385,That's What I Like
Liam Payne,2017-12-29,101,258157,Strip That Down
