artist,end_date,rank,start_date,streams,title
Drake,2016-12-30,1,2016-12-23,8618267,Fake Love
Migos,2016-12-30,2,2016-12-23,7946032,Bad and Boujee (feat. Lil Uzi Vert)
The Weeknd,2016-12-30,3,2016-12-23,7738517,Starboy
Rae Sremmurd,2016-12-30,4,2016-12-23,6209336,Black Beatles
The Chainsmokers,2016-12-30,5,2016-12-23,5813157,Closer
Aminé,2016-12-30,6,2016-12-23,4865290,Caroline
Machine Gun Kelly,2016-12-30,7,2016-12-23,4701860,Bad Things (with Camila Cabello)
ZAYN,2016-12-30,8,2016-12-23,4512436,"I Don?�t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""
J. Cole,2016-12-30,9,2016-12-23,4357980,Deja Vu
DRAM,2016-12-30,10,2016-12-23,4320878,Broccoli (feat. Lil Yachty)
Big Sean,2016-12-30,11,2016-12-23,4235799,Bounce Back
The Weeknd,2016-12-30,12,2016-12-23,4084928,I Feel It Coming
Bruno Mars,2016-12-30,13,2016-12-23,3737222,24K Magic
Maroon 5,2016-12-30,14,2016-12-23,3610039,Don't Wanna Know
Rob $tone,2016-12-30,15,2016-12-23,3536430,Chill Bill
The Weeknd,2016-12-30,16,2016-12-23,3533862,Party Monster
DJ Snake,2016-12-30,17,2016-12-23,3524767,Let Me Love You
21 Savage,2016-12-30,18,2016-12-23,3522942,X (feat. Future)
21 Savage,2016-12-30,19,2016-12-23,3388778,No Heart
Drake,2016-12-30,20,2016-12-23,3327127,One Dance
Hailee Steinfeld,2016-12-30,21,2016-12-23,3237316,Starving
Martin Garrix,2016-12-30,22,2016-12-23,3190431,In the Name of Love
Ariana Grande,2016-12-30,23,2016-12-23,3045002,Side To Side
James Arthur,2016-12-30,24,2016-12-23,2955129,Say You Won't Let Go
Drake,2016-12-30,25,2016-12-23,2947259,Sneakin??
Twenty One Pilots,2016-12-30,26,2016-12-23,2923813,Heathens
J. Cole,2016-12-30,27,2016-12-23,2918783,Neighbors
BobHelms,2016-12-30,28,2016-12-23,2904013,Jingle Bell Rock
Young M.A,2016-12-30,29,2016-12-23,2892468,OOOUUU
Mariah Carey,2016-12-30,30,2016-12-23,2860142,All I Want for Christmas Is You
J. Cole,2016-12-30,31,2016-12-23,2654474,Immortal
The Chainsmokers,2016-12-30,32,2016-12-23,2588867,All We Know
Alessia Cara,2016-12-30,33,2016-12-23,2532172,Scars To Your Beautiful
The Weeknd,2016-12-30,34,2016-12-23,2507806,Six Feet Under
Lil Uzi Vert,2016-12-30,35,2016-12-23,2506950,You Was Right
Steve Aoki,2016-12-30,36,2016-12-23,2477883,Just Hold On
Sia,2016-12-30,37,2016-12-23,2465480,The Greatest
Starley,2016-12-30,38,2016-12-23,2456559,Call On Me - Ryan Riback Extended Remix
Brenda Lee,2016-12-30,39,2016-12-23,2452598,Rockin' Around The Christmas Tree - Single Version
John Legend,2016-12-30,40,2016-12-23,2444898,Love Me Now
Alessia Cara,2016-12-30,41,2016-12-23,2439802,"How Far I'll Go - From ""Moana"""
Chance The Rapper,2016-12-30,42,2016-12-23,2423080,No Problem (feat. Lil Wayne & 2 Chainz)
The Weeknd,2016-12-30,43,2016-12-23,2418348,Sidewalks
KYLE,2016-12-30,44,2016-12-23,2416959,iSpy (feat. Lil Yachty)
Shawn Mendes,2016-12-30,45,2016-12-23,2413471,Mercy
Drake,2016-12-30,46,2016-12-23,2408063,Too Good
Drake,2016-12-30,47,2016-12-23,2349965,Controlla
Childish Gambino,2016-12-30,48,2016-12-23,2216320,Redbone
Rae Sremmurd,2016-12-30,49,2016-12-23,2214045,Swang
Rihanna,2016-12-30,50,2016-12-23,2193824,Needed Me
Major Lazer,2016-12-30,51,2016-12-23,2193406,Cold Water (feat. Justin Bieber & MØ)
Young Thug,2016-12-30,52,2016-12-23,2117622,pick up the phone
The Weeknd,2016-12-30,53,2016-12-23,2107025,Reminder
Clean Bandit,2016-12-30,54,2016-12-23,2083638,Rockabye (feat. Sean Paul & Anne-Marie)
Future,2016-12-30,55,2016-12-23,1998095,Used to This
Bing Crosby,2016-12-30,56,2016-12-23,1941858,White Christmas
Burl Ives,2016-12-30,57,2016-12-23,1918551,A Holly Jolly Christmas - Single Version
Sage The Gemini,2016-12-30,58,2016-12-23,1917102,Now and Later
The Chainsmokers,2016-12-30,59,2016-12-23,1897303,Don't Let Me Down
Zay Hilfigerrr,2016-12-30,60,2016-12-23,1880453,Juju On That Beat (TZ Anthem)
Desiigner,2016-12-30,61,2016-12-23,1873707,Panda
Lil Wayne,2016-12-30,62,2016-12-23,1858437,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)"
Future,2016-12-30,63,2016-12-23,1835764,Low Life
Nat King Cole,2016-12-30,64,2016-12-23,1832889,The Christmas Song (Merry Christmas To You)
J. Cole,2016-12-30,65,2016-12-23,1829109,No Role Modelz
J. Cole,2016-12-30,66,2016-12-23,1818566,Change
Twenty One Pilots,2016-12-30,67,2016-12-23,1817928,Ride
Jon Bellion,2016-12-30,68,2016-12-23,1773788,All Time Low
G-Eazy,2016-12-30,69,2016-12-23,1765323,Some Kind Of Drug
Andy Williams,2016-12-30,70,2016-12-23,1762842,It's the Most Wonderful Time of the Year
Kodak Black,2016-12-30,71,2016-12-23,1759039,Too Many Years
Shawn Mendes,2016-12-30,72,2016-12-23,1748890,Treat You Better
Elvis Presley,2016-12-30,73,2016-12-23,1742396,Blue Christmas
The Weeknd,2016-12-30,74,2016-12-23,1741306,Die For You
Lil Uzi Vert,2016-12-30,75,2016-12-23,1735169,Money Longer
Rihanna,2016-12-30,76,2016-12-23,1734848,Love On The Brain
Drake,2016-12-30,77,2016-12-23,1715446,Jumpman
The Vamps,2016-12-30,78,2016-12-23,1704975,All Night
gnash,2016-12-30,79,2016-12-23,1699443,"i hate u, i love u (feat. olivia o'brien)"
Lil Uzi Vert,2016-12-30,80,2016-12-23,1687925,Erase Your Social
Lil Yachty,2016-12-30,81,2016-12-23,1675605,One Night
A Boogie Wit da Hoodie,2016-12-30,82,2016-12-23,1673553,My Shit
Noah Cyrus,2016-12-30,83,2016-12-23,1670673,Make Me (Cry)
Chuck Berry,2016-12-30,84,2016-12-23,1667411,Run Rudolph Run - Single Version
Bryson Tiller,2016-12-30,85,2016-12-23,1630153,Don't
Post Malone,2016-12-30,86,2016-12-23,1627737,White Iverson
PnB Rock,2016-12-30,87,2016-12-23,1623683,Selfish
AJR,2016-12-30,88,2016-12-23,1612404,Weak
Bryson Tiller,2016-12-30,89,2016-12-23,1611515,Exchange
Frank Sinatra,2016-12-30,90,2016-12-23,1602324,Let It Snow! Let It Snow! Let It Snow!
Petit Biscuit,2016-12-30,91,2016-12-23,1593405,Sunset Lover
J. Cole,2016-12-30,92,2016-12-23,1589331,She's Mine Pt. 1
Nevada,2016-12-30,93,2016-12-23,1581791,The Mack
Ugly God,2016-12-30,94,2016-12-23,1576487,Water
Cashmere Cat,2016-12-30,95,2016-12-23,1574865,Trust Nobody (feat. Selena Gomez & Tory Lanez)
Travis Scott,2016-12-30,96,2016-12-23,1573611,goosebumps
PARTYNEXTDOOR,2016-12-30,97,2016-12-23,1568157,Come and See Me (feat. Drake)
Kodak Black,2016-12-30,98,2016-12-23,1563220,No Flockin
The Chainsmokers,2016-12-30,99,2016-12-23,1559969,Setting Fires
Post Malone,2016-12-30,100,2016-12-23,1559002,Congratulations
Pentatonix,2016-12-30,101,2016-12-23,1554969,Hallelujah
Big Sean,2016-12-30,102,2016-12-23,1552924,Moves
Wham!,2016-12-30,103,2016-12-23,1533510,Last Christmas
J. Cole,2016-12-30,104,2016-12-23,1526656,For Whom The Bell Tolls
J. Cole,2016-12-30,105,2016-12-23,1507015,Ville Mentality
Post Malone,2016-12-30,106,2016-12-23,1500826,Deja Vu
Twenty One Pilots,2016-12-30,107,2016-12-23,1499619,Stressed Out
Adele,2016-12-30,108,2016-12-23,1494002,Water Under the Bridge
J. Cole,2016-12-30,109,2016-12-23,1487692,4 Your Eyez Only
Michael Bublé,2016-12-30,110,2016-12-23,1484163,It's Beginning To Look A Lot Like Christmas
Rihanna,2016-12-30,111,2016-12-23,1474253,Work
The Weeknd,2016-12-30,112,2016-12-23,1473165,True Colors
The Weeknd,2016-12-30,113,2016-12-23,1469047,Secrets
Jon Bellion,2016-12-30,114,2016-12-23,1458277,All Time Low
Big Sean,2016-12-30,115,2016-12-23,1441428,Living Single
Luke Christopher,2016-12-30,116,2016-12-23,1428902,Lot to Learn
Bruno Mars,2016-12-30,117,2016-12-23,1420833,That's What I Like
San Holo,2016-12-30,118,2016-12-23,1399929,Light
Vice,2016-12-30,119,2016-12-23,1395228,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars)
Meek Mill,2016-12-30,120,2016-12-23,1389600,Litty (feat. Tory Lanez)
Fifth Harmony,2016-12-30,121,2016-12-23,1387604,Work from Home
J. Cole,2016-12-30,122,2016-12-23,1381704,Foldin Clothes
G-Eazy,2016-12-30,123,2016-12-23,1381158,"Me, Myself & I"
The Weeknd,2016-12-30,124,2016-12-23,1367034,Rockin??
Zara Larsson,2016-12-30,125,2016-12-23,1347824,I Would Like
Justin Timberlake,2016-12-30,126,2016-12-23,1337358,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")"
Nebu Kiniza,2016-12-30,127,2016-12-23,1329814,Gassed Up
Kanye West,2016-12-30,128,2016-12-23,1329538,Father Stretch My Hands Pt. 1
Vince Guaraldi Trio,2016-12-30,129,2016-12-23,1326118,Christmas Time Is Here - Vocal
Perry Como,2016-12-30,130,2016-12-23,1324024,It's Beginning to Look a Lot Like Christmas
Burl Ives,2016-12-30,131,2016-12-23,1320677,Rudolph The Red-Nosed Reindeer
Drake,2016-12-30,132,2016-12-23,1318886,Pop Style
Mykola Dmytrovych Leontovych,2016-12-30,133,2016-12-23,1312355,Carol of the Bells
Ariana Grande,2016-12-30,134,2016-12-23,1310904,Into You
Nicki Minaj,2016-12-30,135,2016-12-23,1309007,Black Barbies
The Weeknd,2016-12-30,136,2016-12-23,1296388,The Hills
Mike Posner,2016-12-30,137,2016-12-23,1295356,I Took A Pill In Ibiza - Seeb Remix
Charlie Puth,2016-12-30,138,2016-12-23,1266856,We Don't Talk Anymore (feat. Selena Gomez)
Russ,2016-12-30,139,2016-12-23,1251501,What They Want
Sia,2016-12-30,140,2016-12-23,1246113,Cheap Thrills
Kiiara,2016-12-30,141,2016-12-23,1245030,Gold
Calvin Harris,2016-12-30,142,2016-12-23,1236619,This Is What You Came For
Hearts & Colors,2016-12-30,143,2016-12-23,1234946,Lighthouse - Andrelli Remix
J. Cole,2016-12-30,144,2016-12-23,1234069,She's Mine Pt. 2
A Boogie Wit da Hoodie,2016-12-30,145,2016-12-23,1231093,Timeless (DJ SPINKING)
Bebe Rexha,2016-12-30,146,2016-12-23,1230569,I Got You
Niall Horan,2016-12-30,147,2016-12-23,1229808,This Town
The Weeknd,2016-12-30,148,2016-12-23,1224636,False Alarm
The Weeknd,2016-12-30,149,2016-12-23,1194636,All I Know
Post Malone,2016-12-30,150,2016-12-23,1183242,Go Flex
Jonas Blue,2016-12-30,151,2016-12-23,1182531,By Your Side
The Chainsmokers,2016-12-30,152,2016-12-23,1173460,Roses
The Weeknd,2016-12-30,153,2016-12-23,1171935,Attention
Robin Schulz,2016-12-30,154,2016-12-23,1166025,Shed a Light
Drake,2016-12-30,155,2016-12-23,1163993,Still Here
Judy Garland,2016-12-30,156,2016-12-23,1160153,"Have Yourself A Merry Little Christmas - ""Meet Me In St. Louis"" Original Cast Recording"
Maty Noyes,2016-12-30,157,2016-12-23,1159616,in my miNd
Justin Bieber,2016-12-30,158,2016-12-23,1149702,Love Yourself
Kanye West,2016-12-30,159,2016-12-23,1148571,Famous
Ariana Grande,2016-12-30,160,2016-12-23,1146849,Santa Tell Me
Shakira,2016-12-30,161,2016-12-23,1143540,Chantaje
Justin Bieber,2016-12-30,162,2016-12-23,1141751,Mistletoe
Jeremih,2016-12-30,163,2016-12-23,1141105,oui
Flume,2016-12-30,164,2016-12-23,1132858,Never Be Like You
Bryson Tiller,2016-12-30,165,2016-12-23,1131326,Let Me Explain
Justin Bieber,2016-12-30,166,2016-12-23,1129312,Sorry
Marc E. Bassy,2016-12-30,167,2016-12-23,1121214,You & Me
Chris Brown,2016-12-30,168,2016-12-23,1120586,Party
Drake,2016-12-30,169,2016-12-23,1109265,Hotline Bling
Calvin Harris,2016-12-30,170,2016-12-23,1108139,My Way
Desiigner,2016-12-30,171,2016-12-23,1108091,Tiimmy Turner
DVBBS,2016-12-30,172,2016-12-23,1102022,Not Going Home
Kid Cudi,2016-12-30,173,2016-12-23,1101411,Baptized In Fire
Lukas Graham,2016-12-30,174,2016-12-23,1094040,7 Years
Bing Crosby,2016-12-30,175,2016-12-23,1090743,Winter Wonderland
2 Chainz,2016-12-30,176,2016-12-23,1081383,Good Drank
Yo Gotti,2016-12-30,177,2016-12-23,1077961,Castro
Young Thug,2016-12-30,178,2016-12-23,1074419,Wyclef Jean
FRENSHIP,2016-12-30,179,2016-12-23,1070535,Capsize
Adele,2016-12-30,180,2016-12-23,1068388,Send My Love (To Your New Lover)
VÉRITÉ,2016-12-30,181,2016-12-23,1066962,Somebody Else
Lil Uzi Vert,2016-12-30,182,2016-12-23,1066384,Do What I Want
The Weeknd,2016-12-30,183,2016-12-23,1063211,Ordinary Life
Keith Urban,2016-12-30,184,2016-12-23,1044683,Blue Ain't Your Color
Kevin Gates,2016-12-30,185,2016-12-23,1040810,Really Really
Lil Uzi Vert,2016-12-30,186,2016-12-23,1036994,Seven Million (feat. Future)
J. Cole,2016-12-30,187,2016-12-23,1032463,Wet Dreamz
DJ Esco,2016-12-30,188,2016-12-23,1030960,Too Much Sauce
Pentatonix,2016-12-30,189,2016-12-23,1026629,"Mary, Did You Know?"
Martin Jensen,2016-12-30,190,2016-12-23,1026081,Solo Dance
Drake,2016-12-30,191,2016-12-23,1025936,Childs Play
J. Cole,2016-12-30,192,2016-12-23,1023923,everybody dies
Yo Gotti,2016-12-30,193,2016-12-23,1023138,They Like
Auli'i Cravalho,2016-12-30,194,2016-12-23,1020976,How Far I'll Go
The Weeknd,2016-12-30,195,2016-12-23,1017468,Nothing Without You
Nause,2016-12-30,196,2016-12-23,1013332,Dynamite (feat. Pretty Sister)
Bruno Mars,2016-12-30,197,2016-12-23,1011536,Versace On The Floor
Rae Sremmurd,2016-12-30,198,2016-12-23,1003471,No Type
X Ambassadors,2016-12-30,199,2016-12-23,1002415,Unsteady
The Weeknd,2016-12-30,200,2016-12-23,994402,A Lonely Night
Migos,2017-01-06,1,2016-12-30,9212016,Bad and Boujee (feat. Lil Uzi Vert)
Drake,2017-01-06,2,2016-12-30,8402709,Fake Love
The Weeknd,2017-01-06,3,2016-12-30,7634586,Starboy
The Chainsmokers,2017-01-06,4,2016-12-30,6384465,Closer
Rae Sremmurd,2017-01-06,5,2016-12-30,5745384,Black Beatles
Aminé,2017-01-06,6,2016-12-30,4992851,Caroline
ZAYN,2017-01-06,7,2016-12-30,4874178,"I Don?�t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""
Big Sean,2017-01-06,8,2016-12-30,4818172,Bounce Back
Machine Gun Kelly,2017-01-06,9,2016-12-30,4805096,Bad Things (with Camila Cabello)
The Weeknd,2017-01-06,10,2016-12-30,4586635,I Feel It Coming
DRAM,2017-01-06,11,2016-12-30,4558327,Broccoli (feat. Lil Yachty)
DJ Snake,2017-01-06,12,2016-12-30,4152387,Let Me Love You
Drake,2017-01-06,13,2016-12-30,4042672,One Dance
Bruno Mars,2017-01-06,14,2016-12-30,3828278,24K Magic
Maroon 5,2017-01-06,15,2016-12-30,3797163,Don't Wanna Know
J. Cole,2017-01-06,16,2016-12-30,3777536,Deja Vu
21 Savage,2017-01-06,17,2016-12-30,3751877,X (feat. Future)
Hailee Steinfeld,2017-01-06,18,2016-12-30,3465749,Starving
Rob $tone,2017-01-06,19,2016-12-30,3464585,Chill Bill
Martin Garrix,2017-01-06,20,2016-12-30,3432821,In the Name of Love
James Arthur,2017-01-06,21,2016-12-30,3358134,Say You Won't Let Go
The Weeknd,2017-01-06,22,2016-12-30,3341933,Party Monster
21 Savage,2017-01-06,23,2016-12-30,3265130,No Heart
Ariana Grande,2017-01-06,24,2016-12-30,3222416,Side To Side
Drake,2017-01-06,25,2016-12-30,3046339,Sneakin??
Twenty One Pilots,2017-01-06,26,2016-12-30,3019029,Heathens
Young M.A,2017-01-06,27,2016-12-30,2954985,OOOUUU
KYLE,2017-01-06,28,2016-12-30,2951309,iSpy (feat. Lil Yachty)
The Chainsmokers,2017-01-06,29,2016-12-30,2838884,All We Know
Lil Uzi Vert,2017-01-06,30,2016-12-30,2803226,You Was Right
Chance The Rapper,2017-01-06,31,2016-12-30,2762137,No Problem (feat. Lil Wayne & 2 Chainz)
Alessia Cara,2017-01-06,32,2016-12-30,2747443,"How Far I'll Go - From ""Moana"""
Alessia Cara,2017-01-06,33,2016-12-30,2713743,Scars To Your Beautiful
Shawn Mendes,2017-01-06,34,2016-12-30,2703580,Mercy
Starley,2017-01-06,35,2016-12-30,2659113,Call On Me - Ryan Riback Extended Remix
John Legend,2017-01-06,36,2016-12-30,2556359,Love Me Now
J. Cole,2017-01-06,37,2016-12-30,2554091,Neighbors
Drake,2017-01-06,38,2016-12-30,2502428,Too Good
Major Lazer,2017-01-06,39,2016-12-30,2493998,Cold Water (feat. Justin Bieber & MØ)
Rae Sremmurd,2017-01-06,40,2016-12-30,2424161,Swang
Drake,2017-01-06,41,2016-12-30,2423349,Controlla
The Weeknd,2017-01-06,42,2016-12-30,2419147,Six Feet Under
The Chainsmokers,2017-01-06,43,2016-12-30,2402845,Don't Let Me Down
Young Thug,2017-01-06,44,2016-12-30,2385552,pick up the phone
Rihanna,2017-01-06,45,2016-12-30,2372277,Needed Me
Steve Aoki,2017-01-06,46,2016-12-30,2366651,Just Hold On
Shawn Mendes,2017-01-06,47,2016-12-30,2340498,Treat You Better
The Weeknd,2017-01-06,48,2016-12-30,2321664,Sidewalks
Clean Bandit,2017-01-06,49,2016-12-30,2272394,Rockabye (feat. Sean Paul & Anne-Marie)
J. Cole,2017-01-06,50,2016-12-30,2194654,Immortal
Childish Gambino,2017-01-06,51,2016-12-30,2175894,Redbone
Fifth Harmony,2017-01-06,52,2016-12-30,2102278,Work from Home
Jon Bellion,2017-01-06,53,2016-12-30,2073078,All Time Low
Desiigner,2017-01-06,54,2016-12-30,2064963,Panda
G-Eazy,2017-01-06,55,2016-12-30,2007331,Some Kind Of Drug
Justin Timberlake,2017-01-06,56,2016-12-30,1995424,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")"
Rihanna,2017-01-06,57,2016-12-30,1969886,Work
Sage The Gemini,2017-01-06,58,2016-12-30,1951897,Now and Later
Future,2017-01-06,59,2016-12-30,1896260,Low Life
Sia,2017-01-06,60,2016-12-30,1895573,Cheap Thrills
Lil Wayne,2017-01-06,61,2016-12-30,1894425,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)"
Future,2017-01-06,62,2016-12-30,1890971,Used to This
Ariana Grande,2017-01-06,63,2016-12-30,1874910,Into You
Shakira,2017-01-06,64,2016-12-30,1860023,Chantaje
Twenty One Pilots,2017-01-06,65,2016-12-30,1859241,Ride
The Vamps,2017-01-06,66,2016-12-30,1845885,All Night
Rihanna,2017-01-06,67,2016-12-30,1843366,Love On The Brain
Travis Scott,2017-01-06,68,2016-12-30,1833069,goosebumps
The Weeknd,2017-01-06,69,2016-12-30,1829110,Reminder
AJR,2017-01-06,70,2016-12-30,1823119,Weak
Calvin Harris,2017-01-06,71,2016-12-30,1820016,This Is What You Came For
J. Cole,2017-01-06,72,2016-12-30,1814343,No Role Modelz
Drake,2017-01-06,73,2016-12-30,1813853,Jumpman
Noah Cyrus,2017-01-06,74,2016-12-30,1788273,Make Me (Cry)
Lil Uzi Vert,2017-01-06,75,2016-12-30,1767920,Money Longer
J. Cole,2017-01-06,76,2016-12-30,1739684,Change
gnash,2017-01-06,77,2016-12-30,1710840,"i hate u, i love u (feat. olivia o'brien)"
Kodak Black,2017-01-06,78,2016-12-30,1706940,Too Many Years
Cashmere Cat,2017-01-06,79,2016-12-30,1705908,Trust Nobody (feat. Selena Gomez & Tory Lanez)
The Weeknd,2017-01-06,80,2016-12-30,1689769,Die For You
Nevada,2017-01-06,81,2016-12-30,1684361,The Mack
Petit Biscuit,2017-01-06,82,2016-12-30,1676121,Sunset Lover
Bryson Tiller,2017-01-06,83,2016-12-30,1652261,Don't
Flume,2017-01-06,84,2016-12-30,1651935,Never Be Like You
Post Malone,2017-01-06,85,2016-12-30,1651702,White Iverson
PnB Rock,2017-01-06,86,2016-12-30,1649780,Selfish
Zay Hilfigerrr,2017-01-06,87,2016-12-30,1629704,Juju On That Beat (TZ Anthem)
Lil Uzi Vert,2017-01-06,88,2016-12-30,1617327,Erase Your Social
Bryson Tiller,2017-01-06,89,2016-12-30,1612036,Exchange
Ugly God,2017-01-06,90,2016-12-30,1605966,Water
PARTYNEXTDOOR,2017-01-06,91,2016-12-30,1603648,Come and See Me (feat. Drake)
Twenty One Pilots,2017-01-06,92,2016-12-30,1588712,Stressed Out
Big Sean,2017-01-06,93,2016-12-30,1577217,Moves
Adele,2017-01-06,94,2016-12-30,1570560,Water Under the Bridge
Post Malone,2017-01-06,95,2016-12-30,1565952,Congratulations
Charlie Puth,2017-01-06,96,2016-12-30,1555996,We Don't Talk Anymore (feat. Selena Gomez)
San Holo,2017-01-06,97,2016-12-30,1539741,Light
The Chainsmokers,2017-01-06,98,2016-12-30,1534937,Setting Fires
Lil Yachty,2017-01-06,99,2016-12-30,1526899,One Night
DJ Esco,2017-01-06,100,2016-12-30,1523264,Too Much Sauce
Jon Bellion,2017-01-06,101,2016-12-30,1508954,All Time Low
Mike Posner,2017-01-06,102,2016-12-30,1506973,I Took A Pill In Ibiza - Seeb Remix
G-Eazy,2017-01-06,103,2016-12-30,1499613,"Me, Myself & I"
Justin Bieber,2017-01-06,104,2016-12-30,1492066,Love Yourself
Kodak Black,2017-01-06,105,2016-12-30,1486114,No Flockin
Adele,2017-01-06,106,2016-12-30,1458924,Send My Love (To Your New Lover)
Luke Christopher,2017-01-06,107,2016-12-30,1457330,Lot to Learn
Post Malone,2017-01-06,108,2016-12-30,1449709,Deja Vu
Zara Larsson,2017-01-06,109,2016-12-30,1443086,I Would Like
Meek Mill,2017-01-06,110,2016-12-30,1428281,Litty (feat. Tory Lanez)
Bruno Mars,2017-01-06,111,2016-12-30,1426314,That's What I Like
The Weeknd,2017-01-06,112,2016-12-30,1392501,True Colors
Kiiara,2017-01-06,113,2016-12-30,1392159,Gold
Vice,2017-01-06,114,2016-12-30,1370282,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars)
Kanye West,2017-01-06,115,2016-12-30,1359209,Father Stretch My Hands Pt. 1
The Weeknd,2017-01-06,116,2016-12-30,1357574,Secrets
Hearts & Colors,2017-01-06,117,2016-12-30,1346814,Lighthouse - Andrelli Remix
Niall Horan,2017-01-06,118,2016-12-30,1337852,This Town
Bebe Rexha,2017-01-06,119,2016-12-30,1324870,I Got You
Nebu Kiniza,2017-01-06,120,2016-12-30,1316848,Gassed Up
The Weeknd,2017-01-06,121,2016-12-30,1314904,The Hills
Robin Schulz,2017-01-06,122,2016-12-30,1314763,Shed a Light
Drake,2017-01-06,123,2016-12-30,1308555,Pop Style
ZAYN,2017-01-06,124,2016-12-30,1302358,PILLOWTALK
The Weeknd,2017-01-06,125,2016-12-30,1292313,Rockin??
Big Sean,2017-01-06,126,2016-12-30,1289108,Living Single
Jonas Blue,2017-01-06,127,2016-12-30,1272787,By Your Side
The Chainsmokers,2017-01-06,128,2016-12-30,1271131,Roses
DVBBS,2017-01-06,129,2016-12-30,1252783,Not Going Home
A Boogie Wit da Hoodie,2017-01-06,130,2016-12-30,1250894,My Shit
Gucci Mane,2017-01-06,131,2016-12-30,1244566,Both (feat. Drake)
J. Cole,2017-01-06,132,2016-12-30,1239589,She's Mine Pt. 1
Russ,2017-01-06,133,2016-12-30,1236441,What They Want
Lukas Graham,2017-01-06,134,2016-12-30,1231010,7 Years
FRENSHIP,2017-01-06,135,2016-12-30,1223974,Capsize
A Boogie Wit da Hoodie,2017-01-06,136,2016-12-30,1223119,Timeless (DJ SPINKING)
J. Cole,2017-01-06,137,2016-12-30,1209823,For Whom The Bell Tolls
Nicki Minaj,2017-01-06,138,2016-12-30,1203632,Black Barbies
Kanye West,2017-01-06,139,2016-12-30,1203339,Famous
Chris Brown,2017-01-06,140,2016-12-30,1203313,Party
Bryson Tiller,2017-01-06,141,2016-12-30,1203303,Let Me Explain
Justin Bieber,2017-01-06,142,2016-12-30,1200409,Sorry
J. Cole,2017-01-06,143,2016-12-30,1198722,4 Your Eyez Only
DNCE,2017-01-06,144,2016-12-30,1198196,Cake By The Ocean
MadeinTYO,2017-01-06,145,2016-12-30,1196926,Uber Everywhere
J. Cole,2017-01-06,146,2016-12-30,1195946,Ville Mentality
VÉRITÉ,2017-01-06,147,2016-12-30,1188181,Somebody Else
Marc E. Bassy,2017-01-06,148,2016-12-30,1180939,You & Me
Post Malone,2017-01-06,149,2016-12-30,1178420,Go Flex
Flume,2017-01-06,150,2016-12-30,1176800,Say It (feat. Tove Lo)
Drake,2017-01-06,151,2016-12-30,1173442,Hotline Bling
Calvin Harris,2017-01-06,152,2016-12-30,1165966,My Way
Coldplay,2017-01-06,153,2016-12-30,1161968,Hymn For The Weekend - Seeb Remix
Jeremih,2017-01-06,154,2016-12-30,1154979,oui
Desiigner,2017-01-06,155,2016-12-30,1153514,Tiimmy Turner
Drake,2017-01-06,156,2016-12-30,1138947,Still Here
Martin Jensen,2017-01-06,157,2016-12-30,1135824,Solo Dance
Sia,2017-01-06,158,2016-12-30,1135516,The Greatest
The Weeknd,2017-01-06,159,2016-12-30,1125001,All I Know
2 Chainz,2017-01-06,160,2016-12-30,1121693,Good Drank
The Weeknd,2017-01-06,161,2016-12-30,1114937,False Alarm
Auli'i Cravalho,2017-01-06,162,2016-12-30,1106252,How Far I'll Go
Kid Cudi,2017-01-06,163,2016-12-30,1104704,Baptized In Fire
Young Thug,2017-01-06,164,2016-12-30,1100950,Wyclef Jean
Keith Urban,2017-01-06,165,2016-12-30,1097211,Blue Ain't Your Color
Lil Uzi Vert,2017-01-06,166,2016-12-30,1088857,Do What I Want
J. Cole,2017-01-06,167,2016-12-30,1084490,Foldin Clothes
The Weeknd,2017-01-06,168,2016-12-30,1072547,Attention
Alok,2017-01-06,169,2016-12-30,1069787,Hear Me Now
MiC LOWRY,2017-01-06,170,2016-12-30,1062440,Oh Lord
Tory Lanez,2017-01-06,171,2016-12-30,1055938,LUV
Nause,2017-01-06,172,2016-12-30,1044694,Dynamite (feat. Pretty Sister)
Major Lazer,2017-01-06,173,2016-12-30,1044681,Light It Up (feat. Nyla & Fuse ODG) - Remix
The Lumineers,2017-01-06,174,2016-12-30,1044290,Ophelia
Flo Rida,2017-01-06,175,2016-12-30,1040529,My House
Kevin Gates,2017-01-06,176,2016-12-30,1038557,Really Really
DJ Snake,2017-01-06,177,2016-12-30,1037663,Middle
Rae Sremmurd,2017-01-06,178,2016-12-30,1034776,No Type
Travis Scott,2017-01-06,179,2016-12-30,1030659,Antidote
State of Sound,2017-01-06,180,2016-12-30,1029544,Wake Up Where You Are
Eminem,2017-01-06,181,2016-12-30,1025946,'Till I Collapse
